Row,yield
ppt_annual_Total,-0.311355531618863
ppt_Jan_Total,-0.139453741488391
ppt_Feb_Total,-0.210857705570371
ppt_Mar_Total,-0.234573182632485
ppt_Apr_Total,-0.272367423811706
ppt_May_Total,-0.222629971117946
ppt_Jun_Total,-0.134403372521363
ppt_Jul_Total,0.150703207625526
ppt_Aug_Total,-0.010323495232765
ppt_Sep_Total,-0.165467645808617
ppt_Oct_Total,-0.183870814207928
ppt_Nov_Total,-0.200200241879052
ppt_Dec_Total,-0.266901145789656
tmin_annual_Total,-0.406619127785915
tmin_Jan_Total,-0.105402421206234
tmin_Feb_Total,-0.0855097589849869
tmin_Mar_Total,-0.299019496762504
tmin_Apr_Total,-0.347926584755608
tmin_May_Total,-0.347382904453175
tmin_Jun_Total,-0.393388553528259
tmin_Jul_Total,-0.41429900319303
tmin_Aug_Total,-0.407620898476611
tmin_Sep_Total,-0.225029477661037
tmin_Oct_Total,-0.331740264776548
tmin_Nov_Total,-0.262794850965293
tmin_Dec_Total,-0.26358361961576
tmean_annual_Total,-0.195520033114448
tmean_Jan_Total,0.0709865682142013
tmean_Feb_Total,0.0349557713697255
tmean_Mar_Total,-0.138872572425062
tmean_Apr_Total,-0.160830504544249
tmean_May_Total,-0.153919608578764
tmean_Jun_Total,-0.166207124788186
tmean_Jul_Total,-0.223029969304753
tmean_Aug_Total,-0.295118362584244
tmean_Sep_Total,-0.105201101783468
tmean_Oct_Total,-0.199444075754328
tmean_Nov_Total,-0.103053122231364
tmean_Dec_Total,-0.12288471933585
tmax_annual_Total,0.12767742270834
tmax_Jan_Total,0.175344362636124
tmax_Feb_Total,0.115830568996458
tmax_Mar_Total,0.0191001182749778
tmax_Apr_Total,0.0366302728839926
tmax_May_Total,0.0839767596410094
tmax_Jun_Total,0.0688868660924821
tmax_Jul_Total,0.0289826682758241
tmax_Aug_Total,-0.156624795965775
tmax_Sep_Total,0.0281265625818646
tmax_Oct_Total,0.0531095330601874
tmax_Nov_Total,0.0516278519383851
tmax_Dec_Total,0.0779662152696803
tdmean_annual_Total,-0.422531218104737
tdmean_Jan_Total,-0.129088356887582
tdmean_Feb_Total,-0.131353297740837
tdmean_Mar_Total,-0.319084011798711
tdmean_Apr_Total,-0.382413340831537
tdmean_May_Total,-0.374118479513512
tdmean_Jun_Total,-0.435165691461824
tdmean_Jul_Total,-0.372236887451099
tdmean_Aug_Total,-0.401943411820336
tdmean_Sep_Total,-0.271932614612667
tdmean_Oct_Total,-0.301071073372013
tdmean_Nov_Total,-0.296598569158325
tdmean_Dec_Total,-0.261114927503151
vpdmin_annual_Total,-0.0493225606652879
vpdmin_Jan_Total,0.00040474254892223
vpdmin_Feb_Total,-0.00418289129847739
vpdmin_Mar_Total,-0.0647371726348835
vpdmin_Apr_Total,-0.0811312894124118
vpdmin_May_Total,0.028513674090429
vpdmin_Jun_Total,0.0418100293602336
vpdmin_Jul_Total,-0.0336066058772309
vpdmin_Aug_Total,-0.115093298189998
vpdmin_Sep_Total,0.0311371955926637
vpdmin_Oct_Total,-0.0837580544410119
vpdmin_Nov_Total,-0.0831001572984853
vpdmin_Dec_Total,0.00148567129887849
vpdmax_annual_Total,0.292495350384997
vpdmax_Jan_Total,0.227304826112204
vpdmax_Feb_Total,0.191278652670997
vpdmax_Mar_Total,0.178487944218004
vpdmax_Apr_Total,0.263046384680265
vpdmax_May_Total,0.335862690399709
vpdmax_Jun_Total,0.273136181235622
vpdmax_Jul_Total,0.173993580142928
vpdmax_Aug_Total,-0.0110881525064813
vpdmax_Sep_Total,0.175182113343534
vpdmax_Oct_Total,0.224727620273157
vpdmax_Nov_Total,0.203027973854427
vpdmax_Dec_Total,0.257970958763276
nopptdays_annual_Total,0.278930435238075
nopptdays_Jan_Total,0.164764605894141
nopptdays_Feb_Total,0.167014312901676
nopptdays_Mar_Total,0.217082230579647
nopptdays_Apr_Total,0.249025785101064
nopptdays_May_Total,0.19982645147582
nopptdays_Jun_Total,0.0449748560274205
nopptdays_Jul_Total,-0.159888804517396
nopptdays_Aug_Total,0.00593609164166721
nopptdays_Sep_Total,0.111089418084534
nopptdays_Oct_Total,0.196797858474505
nopptdays_Nov_Total,0.154953539624862
nopptdays_Dec_Total,0.224420461850634
GDD_annual_Total,-0.0971266103210511
GDD_Jan_Total,0.080959546815425
GDD_Feb_Total,0.0104973426166392
GDD_Mar_Total,-0.0441245157533501
GDD_Apr_Total,-0.153222737905542
GDD_May_Total,-0.161106705355963
GDD_Jun_Total,NaN
GDD_Jul_Total,NaN
GDD_Aug_Total,NaN
GDD_Sep_Total,-0.105512611910427
GDD_Oct_Total,-0.0862430066711073
GDD_Nov_Total,-0.0959408018940393
GDD_Dec_Total,-0.112810774508083
